trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-89.66582829743729,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-108.24262912190841,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-125.81875245461248,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-91.0199206930416,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,7,-104.23572421583316,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-178.63164510683987,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,-69.99231141613767,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-73.29592973253145,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",35,0,-198.2844048266308,"{0: 17, 1: 8, 2: 6, 3: 2, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",30,0,-207.71932423834903,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-108.15497602567328,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-135.27246886431766,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-111.16383857385351,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,-42.297951056270406,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-106.47512339011776,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,-128.6924069933196,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,0,-130.66807019717785,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,0,-90.81228355269116,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-90.51686538759641,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,0,-95.31481623379885,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,16,-18.386108839440865,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,0,-141.52458256341004,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-46.80467339351342,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,-111.80901714611542,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,0,-46.99796319721991,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,0,-175.1246682571842,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,0,-134.95286703074058,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,-133.89817237175257,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",30,0,-180.93911428646777,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,0,-131.66149449840137,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,-139.46650309187675,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,0,-171.86298510895517,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,0,-125.63270122635011,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,-93.1380266216982,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,0,-61.29005775677492,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,-68.86410445544671,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,0,-95.80137910280479,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,-70.50630370503717,"{0: 13, 1: 8, 2: 4, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,0,-94.09092025571876,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
